borrower_id,age,occupation,monthly_income,existing_loan_history,loan_history_code,debt_to_income_ratio,loan_size,telecom_usage_score,mobile_wallet_activity,digital_purchase_frequency,psychometric_score,gender,province,repayment_score
PK-00001,41,Daily Wage Worker,43448,Delayed Repayment History,2,0.385,331907,0.523,0.243,2,71.5,Male,Balochistan,23.1
PK-00002,28,Self-Employed,43283,No Previous Loan,0,0.185,328705,0.644,0.799,12,40.6,Male,Punjab,63.81
PK-00003,45,Daily Wage Worker,54453,No Previous Loan,0,0.078,559967,0.59,0.447,0,54.6,Male,Balochistan,70.0
PK-00004,47,Salaried,56228,Good Repayment History,1,0.196,586266,0.55,0.572,2,48.1,Female,Balochistan,65.11
PK-00005,19,Self-Employed,64760,No Previous Loan,0,0.179,641506,0.745,0.756,5,59.1,Female,Sindh,49.04
PK-00006,25,Self-Employed,76057,No Previous Loan,0,0.023,469680,0.545,0.446,1,62.9,Male,Punjab,57.12
PK-00007,39,Self-Employed,78983,Previous Default,3,0.253,535631,0.536,0.455,1,40.5,Female,Punjab,59.38
PK-00008,35,Salaried,40858,No Previous Loan,0,0.072,329157,0.387,0.158,0,65.6,Male,Punjab,39.98
PK-00009,38,Self-Employed,61417,No Previous Loan,0,0.07,556088,0.755,0.668,6,91.4,Male,Punjab,81.7
PK-00010,30,Self-Employed,140861,No Previous Loan,0,0.059,855424,0.542,0.728,24,63.6,Female,Khyber Pakhtunkhwa,71.14
PK-00011,46,Self-Employed,115537,Good Repayment History,1,0.358,491052,0.67,0.517,4,46.7,Female,Balochistan,69.65
PK-00012,45,Daily Wage Worker,60579,Delayed Repayment History,2,0.244,420841,0.496,0.549,1,53.3,Male,Punjab,53.74
PK-00013,38,Salaried,72639,Good Repayment History,1,0.155,399590,0.406,0.511,3,53.5,Male,Punjab,78.22
PK-00014,48,Self-Employed,50283,No Previous Loan,0,0.031,410561,0.561,0.1,0,46.9,Male,Punjab,45.73
PK-00015,42,Salaried,63037,Delayed Repayment History,2,0.329,360418,0.745,0.11,0,69.2,Male,Punjab,38.89
PK-00016,30,Daily Wage Worker,36919,No Previous Loan,0,0.166,325277,0.38,0.601,2,27.8,Male,Sindh,53.61
PK-00017,41,Daily Wage Worker,43808,No Previous Loan,0,0.181,541232,0.783,0.625,0,60.9,Male,Khyber Pakhtunkhwa,42.38
PK-00018,29,Other,31471,Good Repayment History,1,0.225,311760,0.498,0.513,4,75.5,Female,Punjab,59.96
PK-00019,46,Daily Wage Worker,63147,No Previous Loan,0,0.106,478503,0.599,0.567,5,77.0,Male,Punjab,58.78
PK-00020,37,Self-Employed,27447,Delayed Repayment History,2,0.115,518363,0.76,0.659,2,70.9,Male,Sindh,46.44
PK-00021,36,Freelancer,105037,No Previous Loan,0,0.14,629348,0.608,0.653,0,49.6,Male,Punjab,64.03
PK-00022,31,Self-Employed,91731,Good Repayment History,1,0.284,1096737,0.732,0.685,10,82.0,Male,Balochistan,59.56
PK-00023,49,Daily Wage Worker,101436,Good Repayment History,1,0.086,676237,0.673,0.59,9,65.4,Female,Balochistan,81.74
